anime_id,genres,type,episodes,source,rating,start_year,start_season,demographics,score,scored_by,members,favorites
5114,Action,tv,64,Non-Original,r,2009,spring,Shounen,High,1871705,2932347,204645
11061,Action,tv,148,Non-Original,pg_13,2011,fall,Shounen,High,1509622,2418883,185178
38524,Action,tv,10,Non-Original,r,2019,spring,Shounen,High,1329500,1881734,51931
9253,Drama,tv,24,Non-Original,pg_13,2011,spring,None,High,1252286,2269121,173088
28851,Drama,movie,1,Non-Original,pg_13,2016,summer,Shounen,High,1398608,2001335,77431
32281,Drama,movie,1,original,pg_13,2016,summer,None,High,1675677,2392235,82509
2904,Action,tv,25,original,r,2008,spring,None,High,1079799,1587851,71331
40028,Action,tv,16,Non-Original,r,2021,winter,Shounen,High,1080165,1629273,50125
199,Adventure,movie,1,original,pg,2001,summer,None,High,1149660,1633281,28806
1575,Action,tv,25,original,r,2006,fall,None,High,1266726,2013999,100106
1535,Supernatural,tv,37,Non-Original,r,2006,fall,Shounen,High,2451294,3455435,157433
40748,Action,tv,24,Non-Original,r,2020,fall,Shounen,High,1249570,1922291,72025
23273,Drama,tv,22,Non-Original,pg_13,2014,fall,Shounen,High,1207643,1962353,79870
35760,Action,tv,12,Non-Original,r,2018,summer,Shounen,High,1366582,2000440,18702
1,Action,tv,26,original,r,1998,spring,None,High,844830,1638455,72711
16498,Action,tv,25,Non-Original,r,2013,spring,Shounen,High,2484450,3473484,153790
38000,Action,tv,26,Non-Original,r,2019,spring,Shounen,High,1732637,2492758,81816
37510,Action,tv,13,Non-Original,pg_13,2019,winter,None,High,794061,1261348,29183
30276,Action,tv,12,Non-Original,r,2015,fall,Seinen,High,1989312,2837020,58638
32935,Sports,tv,10,Non-Original,pg_13,2016,fall,Shounen,High,703376,1052000,14624
33352,Drama,tv,13,Non-Original,pg_13,2018,winter,None,High,834283,1531763,52431
25777,Action,tv,12,Non-Original,r,2017,spring,Shounen,High,1622386,2355879,19967
4181,Drama,tv,24,Non-Original,pg_13,2008,fall,None,High,613647,1090226,66806
37779,Mystery,tv,12,Non-Original,r,2019,winter,Shounen,High,1128013,1716058,31342
28891,Sports,tv,25,Non-Original,pg_13,2015,fall,Shounen,High,837304,1258442,15129
431,Adventure,movie,1,Non-Original,g,2004,fall,None,High,794304,1146746,23939
2001,Action,tv,27,original,pg_13,2007,spring,None,High,826245,1461920,72587
164,Action,movie,1,original,pg_13,1997,summer,None,High,718460,1109949,19053
40456,Action,movie,1,Non-Original,r,2020,fall,Shounen,High,775474,1186991,11878
47778,Action,tv,11,Non-Original,r,2022,winter,Shounen,High,562826,937841,20645
37521,Action,tv,24,Non-Original,r,2019,summer,Seinen,High,619634,1131303,33881
40591,Comedy,tv,12,Non-Original,pg_13,2020,spring,Seinen,High,711087,1114716,18430
32182,Action,tv,12,Non-Original,pg_13,2016,summer,None,High,1083282,1759661,39581
34599,Adventure,tv,13,Non-Original,r,2017,summer,None,High,625109,1160278,38020
20583,Sports,tv,25,Non-Original,pg_13,2014,spring,Shounen,High,1080271,1722363,67117
50265,Action,tv,12,Non-Original,pg_13,2022,spring,Shounen,High,498502,922792,29844
11741,Action,tv,12,Non-Original,r,2012,spring,None,High,648863,1014815,19468
30654,Action,tv,25,Non-Original,pg_13,2016,winter,Shounen,High,783848,1253736,16695
48583,Action,tv,12,Non-Original,r,2022,winter,Shounen,High,465392,905001,26577
37999,Comedy,tv,12,Non-Original,pg_13,2019,winter,Seinen,High,927051,1461457,34404
37991,Action,tv,39,Non-Original,r,2018,fall,Shounen,High,569695,857900,27805
31933,Action,tv,39,Non-Original,r,2016,spring,Shounen,High,656285,952930,35034
32,Avant Garde,movie,1,original,r+,1997,summer,None,High,535545,802847,24715
22535,Action,tv,24,Non-Original,r,2014,fall,Seinen,High,1031280,1654705,31493
26055,Action,tv,24,Non-Original,r,2015,winter,Shounen,High,676872,949735,18405
205,Action,tv,26,original,r,2004,spring,Shounen,High,579698,1114174,33761
36098,Drama,movie,1,Non-Original,pg_13,2018,summer,None,High,472985,787056,17518
30,Action,tv,26,original,pg_13,1995,fall,None,High,941487,1577958,92424
31043,Mystery,tv,12,Non-Original,r,2016,winter,Seinen,High,1214990,1852327,43956
918,Action,tv,201,Non-Original,pg_13,2006,spring,Shounen,High,360760,954554,55076
9989,Drama,tv,11,original,pg_13,2011,spring,None,High,909507,1475164,31578
12355,Fantasy,movie,1,original,g,2012,summer,None,High,422750,742812,10646
45576,Drama,tv,12,Non-Original,r,2021,fall,None,High,371600,621116,14756
13601,Action,tv,22,original,r,2012,fall,None,High,720254,1479179,36094
9756,Drama,tv,12,original,pg_13,2011,winter,None,High,686406,1165286,49685
33255,Comedy,tv,120,Non-Original,pg_13,2016,summer,Shounen,High,524823,937128,25126
