anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,themes,demographics,studios,producers
5114,Fullmetal Alchemist: Brotherhood,tv,9,1871705,finished_airing,64.0,Non-Original,2932347,204645,r,True,2009.0,spring,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen'],['Bones'],"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']"
11061,Hunter x Hunter (2011),tv,9,1509622,finished_airing,148.0,Non-Original,2418883,185178,pg_13,True,2011.0,fall,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],['Madhouse'],"['VAP', 'Nippon Television Network', 'Shueisha']"
38524,Shingeki no Kyojin Season 3 Part 2,tv,9,1329500,finished_airing,10.0,Non-Original,1881734,51931,r,True,2019.0,spring,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']"
9253,Steins;Gate,tv,9,1252286,finished_airing,24.0,Non-Original,2269121,173088,pg_13,True,2011.0,spring,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",[],['White Fox'],"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']"
28851,Koe no Katachi,movie,8,1398608,finished_airing,1.0,Non-Original,2001335,77431,pg_13,True,2016.0,summer,['Drama'],['Romantic Subtext'],['Shounen'],['Kyoto Animation'],"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']"
32281,Kimi no Na wa.,movie,8,1675677,finished_airing,1.0,original,2392235,82509,pg_13,True,2016.0,summer,"['Drama', 'Supernatural']",['Romantic Subtext'],[],['CoMix Wave Films'],"['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']"
2904,Code Geass: Hangyaku no Lelouch R2,tv,8,1079799,finished_airing,25.0,original,1587851,71331,r,True,2008.0,spring,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",[],['Sunrise'],"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']"
40028,Shingeki no Kyojin: The Final Season,tv,8,1080165,finished_airing,16.0,Non-Original,1629273,50125,r,True,2021.0,winter,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['MAPPA'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']"
199,Sen to Chihiro no Kamikakushi,movie,8,1149660,finished_airing,1.0,original,1633281,28806,pg,True,2001.0,summer,"['Adventure', 'Award Winning', 'Supernatural']",['Mythology'],[],['Studio Ghibli'],['Toho']
1575,Code Geass: Hangyaku no Lelouch,tv,8,1266726,finished_airing,25.0,original,2013999,100106,r,True,2006.0,fall,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",[],['Sunrise'],"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']"
1535,Death Note,tv,8,2451294,finished_airing,37.0,Non-Original,3455435,157433,r,True,2006.0,fall,"['Supernatural', 'Suspense']",['Psychological'],['Shounen'],['Madhouse'],"['VAP', 'Konami', 'Ashi Production', 'Nippon Television Network', 'Shueisha']"
40748,Jujutsu Kaisen (TV),tv,8,1249570,finished_airing,24.0,Non-Original,1922291,72025,r,True,2020.0,fall,"['Action', 'Fantasy']",['School'],['Shounen'],['MAPPA'],"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']"
23273,Shigatsu wa Kimi no Uso,tv,8,1207643,finished_airing,22.0,Non-Original,1962353,79870,pg_13,True,2014.0,fall,"['Drama', 'Romance']","['Music', 'School']",['Shounen'],['A-1 Pictures'],"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']"
35760,Shingeki no Kyojin Season 3,tv,8,1366582,finished_airing,12.0,Non-Original,2000440,18702,r,True,2018.0,summer,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']"
1,Cowboy Bebop,tv,8,844830,finished_airing,26.0,original,1638455,72711,r,True,1998.0,spring,"['Action', 'Sci-Fi']","['Adult Cast', 'Space']",[],['Sunrise'],['Bandai Visual']
16498,Shingeki no Kyojin,tv,8,2484450,finished_airing,25.0,Non-Original,3473484,153790,r,True,2013.0,spring,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise']"
38000,Kimetsu no Yaiba,tv,8,1732637,finished_airing,26.0,Non-Original,2492758,81816,r,True,2019.0,spring,"['Action', 'Fantasy']",['Historical'],['Shounen'],['ufotable'],"['Aniplex', 'Shueisha']"
37510,Mob Psycho 100 II,tv,8,794061,finished_airing,13.0,Non-Original,1261348,29183,pg_13,True,2019.0,winter,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[],['Bones'],"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']"
30276,One Punch Man,tv,8,1989312,finished_airing,12.0,Non-Original,2837020,58638,r,True,2015.0,fall,"['Action', 'Comedy']","['Parody', 'Super Power']",['Seinen'],['Madhouse'],"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications']"
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,tv,8,703376,finished_airing,10.0,Non-Original,1052000,14624,pg_13,True,2016.0,fall,['Sports'],"['School', 'Team Sports']",['Shounen'],['Production I.G'],"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
33352,Violet Evergarden,tv,8,834283,finished_airing,13.0,Non-Original,1531763,52431,pg_13,True,2018.0,winter,"['Drama', 'Fantasy', 'Slice of Life']",[],[],['Kyoto Animation'],"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']"
25777,Shingeki no Kyojin Season 2,tv,8,1622386,finished_airing,12.0,Non-Original,2355879,19967,r,True,2017.0,spring,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']"
4181,Clannad: After Story,tv,8,613647,finished_airing,24.0,Non-Original,1090226,66806,pg_13,True,2008.0,fall,"['Drama', 'Romance', 'Supernatural']",[],[],['Kyoto Animation'],"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']"
37779,Yakusoku no Neverland,tv,8,1128013,finished_airing,12.0,Non-Original,1716058,31342,r,True,2019.0,winter,"['Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Survival']",['Shounen'],['CloverWorks'],"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund']"
28891,Haikyuu!! Second Season,tv,8,837304,finished_airing,25.0,Non-Original,1258442,15129,pg_13,True,2015.0,fall,['Sports'],"['School', 'Team Sports']",['Shounen'],['Production I.G'],"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
431,Howl no Ugoku Shiro,movie,8,794304,finished_airing,1.0,Non-Original,1146746,23939,g,True,2004.0,fall,"['Adventure', 'Drama', 'Fantasy', 'Romance']",[],[],['Studio Ghibli'],"['d-rights', 'Tokuma Shoten']"
2001,Tengen Toppa Gurren Lagann,tv,8,826245,finished_airing,27.0,original,1461920,72587,pg_13,True,2007.0,spring,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Mecha'],[],['Gainax'],"['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai']"
164,Mononoke Hime,movie,8,718460,finished_airing,1.0,original,1109949,19053,pg_13,True,1997.0,summer,"['Action', 'Adventure', 'Fantasy']",[],[],['Studio Ghibli'],"['Tokuma Shoten', 'Nippon Television Network']"
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,movie,8,775474,finished_airing,1.0,Non-Original,1186991,11878,r,True,2020.0,fall,"['Action', 'Fantasy']",['Historical'],['Shounen'],['ufotable'],"['Aniplex', 'Shueisha']"
47778,Kimetsu no Yaiba: Yuukaku-hen,tv,8,562826,finished_airing,11.0,Non-Original,937841,20645,r,True,2022.0,winter,"['Action', 'Fantasy']",['Historical'],['Shounen'],['ufotable'],[]
37521,Vinland Saga,tv,8,619634,finished_airing,24.0,Non-Original,1131303,33881,r,True,2019.0,summer,"['Action', 'Adventure', 'Drama']",['Historical'],['Seinen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']"
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,tv,8,711087,finished_airing,12.0,Non-Original,1114716,18430,pg_13,True,2020.0,spring,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",['Seinen'],['A-1 Pictures'],"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']"
32182,Mob Psycho 100,tv,8,1083282,finished_airing,12.0,Non-Original,1759661,39581,pg_13,True,2016.0,summer,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[],['Bones'],"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']"
34599,Made in Abyss,tv,8,625109,finished_airing,13.0,Non-Original,1160278,38020,r,True,2017.0,summer,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",[],[],['Kinema Citrus'],"['Media Factory', 'AT-X', 'Takeshobo', 'Sony Music Communications', 'Kadokawa Media House', 'Cygames', 'Kanetsu Investment', 'Kadokawa', 'Global Solutions', 'IRMA LA DOUCE']"
20583,Haikyuu!!,tv,8,1080271,finished_airing,25.0,Non-Original,1722363,67117,pg_13,True,2014.0,spring,['Sports'],"['School', 'Team Sports']",['Shounen'],['Production I.G'],"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha', 'Spacey Music Entertainment']"
50265,Spy x Family,tv,8,498502,finished_airing,12.0,Non-Original,922792,29844,pg_13,True,2022.0,spring,"['Action', 'Comedy']",['Childcare'],['Shounen'],"['Wit Studio', 'CloverWorks']","['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha']"
11741,Fate/Zero 2nd Season,tv,8,648863,finished_airing,12.0,Non-Original,1014815,19468,r,True,2012.0,spring,"['Action', 'Fantasy', 'Supernatural']",[],[],['ufotable'],"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']"
30654,Ansatsu Kyoushitsu 2nd Season,tv,8,783848,finished_airing,25.0,Non-Original,1253736,16695,pg_13,True,2016.0,winter,"['Action', 'Comedy']",['School'],['Shounen'],['Lerche'],"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'Avex Pictures', 'Shueisha', 'Kansai Telecasting']"
48583,Shingeki no Kyojin: The Final Season Part 2,tv,8,465392,finished_airing,12.0,Non-Original,905001,26577,r,True,2022.0,winter,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['MAPPA'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprise']"
