anime_id,studios
5114,Bones
11061,Madhouse
38524,Wit Studio
9253,White Fox
28851,Kyoto Animation
32281,CoMix Wave Films
2904,Sunrise
40028,MAPPA
199,Studio Ghibli
1575,Sunrise
1535,Madhouse
40748,MAPPA
23273,A-1 Pictures
35760,Wit Studio
1,Sunrise
16498,Wit Studio
38000,ufotable
37510,Bones
30276,Madhouse
32935,Production I.G
33352,Kyoto Animation
25777,Wit Studio
4181,Kyoto Animation
37779,CloverWorks
28891,Production I.G
431,Studio Ghibli
2001,Gainax
164,Studio Ghibli
40456,ufotable
47778,ufotable
37521,Wit Studio
40591,A-1 Pictures
32182,Bones
34599,Kinema Citrus
20583,Production I.G
50265,Wit Studio
11741,ufotable
30654,Lerche
48583,MAPPA
37999,A-1 Pictures
37991,David Production
31933,David Production
32,Gainax
22535,Madhouse
26055,David Production
205,Manglobe
36098,Studio VOLN
30,Gainax
31043,A-1 Pictures
918,Sunrise
9989,A-1 Pictures
12355,Studio Chizu
45576,Studio Bind
13601,Production I.G
9756,Shaft
33255,J.C.Staff
245,Pierrot
5081,Shaft
31240,White Fox
38329,CloverWorks
1735,Pierrot
38691,TMS Entertainment
39535,Studio Bind
37450,CloverWorks
32937,Studio Deen
17074,Shaft
39587,White Fox
40776,Production I.G
19,Madhouse
10087,ufotable
42203,White Fox
38040,J.C.Staff
43608,A-1 Pictures
30484,White Fox
38883,Production I.G
39551,8bit
28701,ufotable
777,Madhouse
578,Studio Ghibli
523,Studio Ghibli
38826,CoMix Wave Films
33486,Bones
48736,CloverWorks
7311,Kyoto Animation
37105,Zero-G
437,Madhouse
28171,J.C.Staff
36649,MAPPA
10165,Kyoto Animation
23847,feel.
33,OLM
11577,White Fox
42897,CloverWorks
28223,Madhouse
34612,J.C.Staff
24415,Production I.G
2251,Brain's Base
457,Artland
30503,Bones
10408,Brain's Base
37520,Tezuka Productions
263,Madhouse
31758,Shaft
28977,Bandai Namco Pictures
30831,Studio Deen
39547,feel.
16894,Production I.G
392,Pierrot
22297,ufotable
19815,Madhouse
813,Toei Animation
9969,Sunrise
4224,J.C.Staff
22789,Kinema Citrus
853,Bones
31757,Shaft
121,Bones
37430,8bit
24833,Lerche
18115,A-1 Pictures
36456,Bones
33674,Madhouse
34572,Pierrot
25781,Wit Studio
40834,Wit Studio
11843,Sunrise
41487,8bit
6547,P.A. Works
41025,Brain's Base
6746,Brain's Base
40852,TMS Entertainment
32867,Bones
20899,David Production
37987,Kyoto Animation
32282,J.C.Staff
1210,Gonzo
13759,J.C.Staff
136,Nippon Animation
49926,ufotable
2966,Imagin
47,Tokyo Movie Shinsha
31646,Shaft
3784,Khara
35180,Shaft
40417,TMS Entertainment
42938,TMS Entertainment
877,Madhouse
39533,Lerche
43,Production I.G
18679,Trigger
23283,MAPPA
11771,Production I.G
31181,Shaft
6,Madhouse
12189,Kyoto Animation
5341,Brain's Base
35247,Shaft
42249,LIDENFILMS
11597,Shaft
2236,Madhouse
38680,TMS Entertainment
10162,Production I.G
512,Studio Ghibli
13125,A-1 Pictures
35839,Madhouse
11981,Shaft
10863,White Fox
33049,ufotable
20,Pierrot
513,Studio Ghibli
7791,Kyoto Animation
41457,A-1 Pictures
35790,Kinema Citrus
14813,Brain's Base
12365,J.C.Staff
40052,Wit Studio
39247,Kyoto Animation
48569,A-1 Pictures
46095,Wit Studio
7054,J.C.Staff
39741,Kyoto Animation
36862,Kinema Citrus
572,Topcraft
2167,Kyoto Animation
20507,Bones
35788,J.C.Staff
46102,OLM
15417,Sunrise
22135,Tatsunoko Production
31964,Bones
7674,J.C.Staff
10030,J.C.Staff
5,Bones
39783,Bibury Animation Studios
38003,Bones
45,Gallop
33206,Kyoto Animation
1519,Madhouse
2025,Bones
6594,White Fox
34240,A-1 Pictures
14513,A-1 Pictures
38408,Bones
889,Madhouse
33050,ufotable
28805,Studio Chizu
5258,Madhouse
30015,TMS Entertainment
35557,Orange
