anime_id,score,scored_by,members,favorites
5114,High,1871705,2932347,204645
11061,High,1509622,2418883,185178
38524,High,1329500,1881734,51931
9253,High,1252286,2269121,173088
28851,High,1398608,2001335,77431
32281,High,1675677,2392235,82509
2904,High,1079799,1587851,71331
40028,High,1080165,1629273,50125
199,High,1149660,1633281,28806
1575,High,1266726,2013999,100106
1535,High,2451294,3455435,157433
40748,High,1249570,1922291,72025
23273,High,1207643,1962353,79870
35760,High,1366582,2000440,18702
1,High,844830,1638455,72711
16498,High,2484450,3473484,153790
38000,High,1732637,2492758,81816
37510,High,794061,1261348,29183
30276,High,1989312,2837020,58638
32935,High,703376,1052000,14624
33352,High,834283,1531763,52431
25777,High,1622386,2355879,19967
4181,High,613647,1090226,66806
37779,High,1128013,1716058,31342
28891,High,837304,1258442,15129
431,High,794304,1146746,23939
2001,High,826245,1461920,72587
164,High,718460,1109949,19053
40456,High,775474,1186991,11878
47778,High,562826,937841,20645
37521,High,619634,1131303,33881
40591,High,711087,1114716,18430
32182,High,1083282,1759661,39581
34599,High,625109,1160278,38020
20583,High,1080271,1722363,67117
50265,High,498502,922792,29844
11741,High,648863,1014815,19468
30654,High,783848,1253736,16695
48583,High,465392,905001,26577
37999,High,927051,1461457,34404
37991,High,569695,857900,27805
31933,High,656285,952930,35034
32,High,535545,802847,24715
22535,High,1031280,1654705,31493
26055,High,676872,949735,18405
205,High,579698,1114174,33761
36098,High,472985,787056,17518
30,High,941487,1577958,92424
31043,High,1214990,1852327,43956
918,High,360760,954554,55076
9989,High,909507,1475164,31578
12355,High,422750,742812,10646
45576,High,371600,621116,14756
13601,High,720254,1479179,36094
9756,High,686406,1165286,49685
33255,High,524823,937128,25126
245,High,364906,734523,23555
5081,High,681135,1289959,46452
31240,High,1264633,1949028,61663
38329,High,380542,597227,9227
1735,High,1445838,2151550,98934
38691,High,891968,1469027,24380
39535,High,593681,970325,23516
37450,High,952634,1488839,42100
32937,High,892930,1331506,11352
17074,High,330778,616225,22486
39587,High,542395,948527,10883
40776,High,392171,669148,5577
19,High,312652,873348,39677
10087,High,788121,1367912,32207
42203,High,412212,717910,11214
38040,High,411562,651583,4363
43608,High,280251,594666,19952
30484,High,369827,771198,10699
38883,High,484772,788356,4787
39551,High,426840,754114,9674
28701,High,512854,773763,8737
777,High,434095,829358,19580
578,High,350851,585799,6871
523,High,611158,936544,7268
38826,High,492483,818400,10743
33486,High,1546612,2236970,17126
48736,High,422042,721792,15834
7311,High,288983,564673,12682
37105,High,353661,653905,16556
437,High,309029,578354,15358
28171,High,919553,1495603,23019
36649,High,314953,727669,26784
10165,High,328368,797187,21070
23847,High,618114,945667,15393
33,High,293642,548529,22698
11577,High,324483,540416,2415
42897,High,635531,1060963,27799
28223,High,903941,1572091,25928
34612,High,328735,549538,3882
24415,High,419131,675754,4824
2251,High,357925,837465,22388
457,High,255763,747783,24772
30503,High,821037,1323286,11160
10408,High,417524,740943,9598
37520,High,528697,1031529,17245
263,High,241095,489353,17907
31758,High,237725,408886,6822
28977,High,218662,544926,14666
30831,High,1130918,1722350,41238
39547,High,332259,615480,12672
16894,High,488984,764345,4223
392,High,296314,606555,20126
22297,High,609722,958164,15296
19815,High,1412822,2176564,46424
813,High,770597,1106679,33416
9969,High,210584,480198,7169
4224,High,1258209,1997587,53508
22789,High,313476,604204,12084
853,High,622243,1020434,31232
31757,High,240304,397737,2194
121,High,836664,1362542,24723
37430,High,731368,1191306,24281
24833,High,1048111,1762851,27045
18115,High,422988,772775,7387
36456,High,1275636,1922920,12701
33674,High,423040,778711,7252
34572,High,694772,1376433,38373
25781,High,271659,453625,1802
40834,High,220757,440471,9905
11843,High,378482,742809,13154
41487,High,314608,561696,9674
6547,High,1196177,1916978,46382
41025,High,281660,696162,11833
6746,High,627194,1300721,29224
40852,High,461417,838826,6678
32867,High,414572,716708,6203
20899,High,740326,1041019,19270
37987,High,186938,455740,6979
32282,High,663653,1033547,3025
1210,High,303004,658206,23719
13759,High,656384,1143337,25736
136,High,259093,528146,9768
49926,High,264094,458420,3175
2966,High,364426,748441,17069
47,High,447365,737903,11690
31646,High,255006,612750,14334
3784,High,291210,476359,3175
35180,High,178863,356598,14296
40417,High,204869,411389,5179
42938,High,175567,361617,16746
877,High,213607,559062,23736
39533,High,262025,477718,15196
43,High,296516,561743,11339
18679,High,873337,1566415,35278
23283,High,558797,1039825,20365
11771,High,637670,1074843,19843
31181,High,214873,438654,2710
6,High,331631,668309,13471
12189,High,578520,1228519,25078
5341,High,255770,453969,4119
35247,High,171018,353322,8118
42249,High,525296,973154,23222
11597,High,404343,681833,3790
2236,High,425124,730064,5553
38680,High,324547,684914,13232
10162,High,227636,457521,5891
512,High,326016,500994,4675
13125,High,260666,722097,21245
35839,High,193075,444585,12800
11981,High,203795,341803,7858
10863,High,255948,403348,771
33049,High,189605,329030,3242
20,High,1758570,2519711,70739
513,High,268969,426733,3680
7791,High,350149,628794,13710
41457,High,276188,552690,12529
35790,High,854579,1361805,25359
14813,High,767293,1275698,26613
12365,High,182000,308471,2872
40052,High,264717,546178,8687
39247,High,214601,456627,5588
48569,High,165939,327495,9444
46095,High,194817,432926,9021
7054,High,669964,1133426,21289
39741,High,199751,343553,1279
36862,High,166476,345093,2806
572,High,209457,333422,4520
2167,High,709090,1307938,26551
20507,High,1163493,1955318,31302
35788,High,538245,877272,2581
46102,High,157433,321729,6644
15417,High,147163,285935,2813
22135,High,162675,347071,14149
31964,High,1844412,2669344,51886
7674,High,278617,576027,9111
10030,High,199500,330455,1327
5,High,194574,337836,1317
39783,High,345131,580112,10723
38003,High,263238,505340,4329
45,High,221570,453834,9565
33206,High,668680,1100866,16244
1519,High,286165,463313,2797
2025,High,414168,871373,15946
6594,High,200917,521053,10398
34240,High,208155,308593,2407
14513,High,508200,948441,8586
38408,High,924810,1479880,8053
889,High,438951,887584,16107
33050,High,143421,281841,6950
28805,High,205976,382993,2982
5258,High,145100,245737,1587
30015,High,519537,922348,9159
35557,High,170361,397100,11473
223,High,602322,921328,13596
227,High,396438,737956,26998
9617,High,175636,297634,2507
14719,High,926827,1433406,33502
29803,High,828146,1375095,22686
1889,High,237047,446607,6981
25013,High,374483,758983,14532
35062,High,333366,794109,10181
35851,High,160241,364527,6361
467,High,155344,368540,8135
40787,High,152018,308418,4953
34096,High,127618,272653,2526
1604,High,247977,522968,15450
34798,High,185699,422367,9436
25537,High,215752,395181,2365
6045,High,402203,817985,11690
4081,High,171059,487471,14448
17265,High,539564,1028150,9957
14713,High,298722,576283,12970
6114,High,145230,362005,8004
6675,High,180957,331373,4911
32615,High,436981,794325,10768
36296,High,226454,453473,4076
44,High,130103,259050,5961
35466,High,201649,336293,1582
37095,High,167225,280592,753
35968,High,448300,834458,10043
269,High,980721,1680584,60837
48561,High,137493,439973,6902
36946,High,226802,325107,2390
15335,High,122153,212854,2013
