anime_id,title
5114,Fullmetal Alchemist: Brotherhood
11061,Hunter x Hunter (2011)
38524,Shingeki no Kyojin Season 3 Part 2
9253,Steins;Gate
28851,Koe no Katachi
32281,Kimi no Na wa.
2904,Code Geass: Hangyaku no Lelouch R2
40028,Shingeki no Kyojin: The Final Season
199,Sen to Chihiro no Kamikakushi
1575,Code Geass: Hangyaku no Lelouch
1535,Death Note
40748,Jujutsu Kaisen (TV)
23273,Shigatsu wa Kimi no Uso
35760,Shingeki no Kyojin Season 3
1,Cowboy Bebop
16498,Shingeki no Kyojin
38000,Kimetsu no Yaiba
37510,Mob Psycho 100 II
30276,One Punch Man
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
33352,Violet Evergarden
25777,Shingeki no Kyojin Season 2
4181,Clannad: After Story
37779,Yakusoku no Neverland
28891,Haikyuu!! Second Season
431,Howl no Ugoku Shiro
2001,Tengen Toppa Gurren Lagann
164,Mononoke Hime
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen
47778,Kimetsu no Yaiba: Yuukaku-hen
37521,Vinland Saga
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
32182,Mob Psycho 100
34599,Made in Abyss
20583,Haikyuu!!
50265,Spy x Family
11741,Fate/Zero 2nd Season
30654,Ansatsu Kyoushitsu 2nd Season
48583,Shingeki no Kyojin: The Final Season Part 2
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
32,Neon Genesis Evangelion: The End of Evangelion
22535,Kiseijuu: Sei no Kakuritsu
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
205,Samurai Champloo
36098,Kimi no Suizou wo Tabetai
30,Neon Genesis Evangelion
31043,Boku dake ga Inai Machi
918,Gintama
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
12355,Ookami Kodomo no Ame to Yuki
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
13601,Psycho-Pass
9756,Mahou Shoujo Madoka★Magica
33255,Saiki Kusuo no Ψ-nan
245,Great Teacher Onizuka
5081,Bakemonogatari
31240,Re:Zero kara Hajimeru Isekai Seikatsu
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
1735,Naruto: Shippuuden
38691,Dr. Stone
39535,Mushoku Tensei: Isekai Ittara Honki Dasu
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
32937,Kono Subarashii Sekai ni Shukufuku wo! 2
17074,Monogatari Series: Second Season
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
40776,Haikyuu!! To the Top Part 2
19,Monster
10087,Fate/Zero
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic
30484,Steins;Gate 0
38883,Haikyuu!! To the Top
39551,Tensei shitara Slime Datta Ken 2nd Season
28701,Fate/stay night: Unlimited Blade Works 2nd Season
777,Hellsing Ultimate
578,Hotaru no Haka
523,Tonari no Totoro
38826,Tenki no Ko
33486,Boku no Hero Academia 2nd Season
48736,Sono Bisque Doll wa Koi wo Suru
7311,Suzumiya Haruhi no Shoushitsu
37105,Grand Blue
437,Perfect Blue
28171,Shokugeki no Souma
36649,Banana Fish
10165,Nichijou
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
33,Kenpuu Denki Berserk
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
42897,Horimiya
28223,Death Parade
34612,Saiki Kusuo no Ψ-nan 2
24415,Kuroko no Basket 3rd Season
2251,Baccano!
457,Mushishi
30503,Noragami Aragoto
10408,Hotarubi no Mori e
37520,Dororo
263,Hajime no Ippo
31758,Kizumonogatari III: Reiketsu-hen
28977,Gintama°
30831,Kono Subarashii Sekai ni Shukufuku wo!
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
16894,Kuroko no Basket 2nd Season
392,Yuu☆Yuu☆Hakusho
