anime_id,type,score,scored_by,episodes,start_date,source,rating,sfw,start_season,demographics,studios,producers,licensors,keywords
5114,tv,9.13,1871705,64.0,2009-04-05,manga,r,True,spring,['Shounen'],['Bones'],"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","['Funimation', 'Aniplex of America']","['Action', 'Adventure', 'Drama', 'Fantasy', 'Military']"
11061,tv,9.04,1509622,148.0,2011-10-02,manga,pg_13,True,fall,['Shounen'],['Madhouse'],"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],"['Action', 'Adventure', 'Fantasy']"
38524,tv,9.07,1329500,10.0,2019-04-29,manga,r,True,spring,['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
9253,tv,9.08,1252286,24.0,2011-04-06,visual_novel,pg_13,True,spring,[],['White Fox'],"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']"
28851,movie,8.95,1398608,1.0,2016-09-17,manga,pg_13,True,summer,['Shounen'],['Kyoto Animation'],"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']","['Eleven Arts', 'NYAV Post']","['Drama', 'Romantic Subtext']"
32281,movie,8.86,1675677,1.0,2016-08-26,original,pg_13,True,summer,[],['CoMix Wave Films'],"['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']","['Funimation', 'NYAV Post']","['Drama', 'Supernatural', 'Romantic Subtext']"
2904,tv,8.91,1079799,25.0,2008-04-06,original,r,True,spring,[],['Sunrise'],"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']","['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']"
40028,tv,8.83,1080165,16.0,2020-12-07,manga,r,True,winter,['Shounen'],['MAPPA'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
199,movie,8.78,1149660,1.0,2001-07-20,original,pg,True,summer,[],['Studio Ghibli'],['Toho'],"['Disney Platform Distribution', 'GKIDS']","['Adventure', 'Award Winning', 'Supernatural', 'Mythology']"
1575,tv,8.7,1266726,25.0,2006-10-06,original,r,True,fall,[],['Sunrise'],"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Sony Music Entertainment', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']","['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'School', 'Super Power']"
1535,tv,8.62,2451294,37.0,2006-10-04,manga,r,True,fall,['Shounen'],['Madhouse'],"['VAP', 'Konami', 'Ashi Production', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],"['Supernatural', 'Suspense', 'Psychological']"
40748,tv,8.68,1249570,24.0,2020-10-03,manga,r,True,fall,['Shounen'],['MAPPA'],"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']",[],"['Action', 'Fantasy', 'School']"
23273,tv,8.66,1207643,22.0,2014-10-10,manga,pg_13,True,fall,['Shounen'],['A-1 Pictures'],"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'Lawson HMV Entertainment', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Aniplex of America'],"['Drama', 'Romance', 'Music', 'School']"
35760,tv,8.62,1366582,12.0,2018-07-23,manga,r,True,summer,['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
1,tv,8.76,844830,26.0,1998-04-03,original,r,True,spring,[],['Sunrise'],['Bandai Visual'],"['Funimation', 'Bandai Entertainment']","['Action', 'Sci-Fi', 'Adult Cast', 'Space']"
16498,tv,8.53,2484450,25.0,2013-04-07,manga,r,True,spring,['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise']",['Funimation'],"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
38000,tv,8.54,1732637,26.0,2019-04-06,manga,r,True,spring,['Shounen'],['ufotable'],"['Aniplex', 'Shueisha']",['Aniplex of America'],"['Action', 'Fantasy', 'Historical']"
37510,tv,8.81,794061,13.0,2019-01-07,web_manga,pg_13,True,winter,[],['Bones'],"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Funimation'],"['Action', 'Comedy', 'Supernatural', 'Super Power']"
30276,tv,8.51,1989312,12.0,2015-10-05,web_manga,r,True,fall,['Seinen'],['Madhouse'],"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications']",['VIZ Media'],"['Action', 'Comedy', 'Parody', 'Super Power']"
32935,tv,8.79,703376,10.0,2016-10-08,manga,pg_13,True,fall,['Shounen'],['Production I.G'],"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Sentai Filmworks'],"['Sports', 'School', 'Team Sports']"
33352,tv,8.67,834283,13.0,2018-01-11,light_novel,pg_13,True,winter,[],['Kyoto Animation'],"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']",['Funimation'],"['Drama', 'Fantasy', 'Slice of Life']"
25777,tv,8.5,1622386,12.0,2017-04-01,manga,r,True,spring,['Shounen'],['Wit Studio'],"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
4181,tv,8.94,613647,24.0,2008-10-03,visual_novel,pg_13,True,fall,[],['Kyoto Animation'],"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",['Sentai Filmworks'],"['Drama', 'Romance', 'Supernatural']"
37779,tv,8.54,1128013,12.0,2019-01-10,manga,r,True,winter,['Shounen'],['CloverWorks'],"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund']",['Aniplex of America'],"['Mystery', 'Sci-Fi', 'Suspense', 'Psychological', 'Survival']"
28891,tv,8.64,837304,25.0,2015-10-04,manga,pg_13,True,fall,['Shounen'],['Production I.G'],"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Sentai Filmworks'],"['Sports', 'School', 'Team Sports']"
431,movie,8.66,794304,1.0,2004-11-20,novel,g,True,fall,[],['Studio Ghibli'],"['d-rights', 'Tokuma Shoten']",['Disney Platform Distribution'],"['Adventure', 'Drama', 'Fantasy', 'Romance']"
