,anime_id,type,score,scored_by,episodes,source,rating,sfw,start_season
0,5114,tv,9,1871705,64.0,Non-Original,r,True,spring
1,11061,tv,9,1509622,148.0,Non-Original,pg_13,True,fall
2,38524,tv,9,1329500,10.0,Non-Original,r,True,spring
3,9253,tv,9,1252286,24.0,Non-Original,pg_13,True,spring
4,28851,movie,8,1398608,1.0,Non-Original,pg_13,True,summer
5,32281,movie,8,1675677,1.0,original,pg_13,True,summer
6,2904,tv,8,1079799,25.0,original,r,True,spring
7,40028,tv,8,1080165,16.0,Non-Original,r,True,winter
8,199,movie,8,1149660,1.0,original,pg,True,summer
9,1575,tv,8,1266726,25.0,original,r,True,fall
10,1535,tv,8,2451294,37.0,Non-Original,r,True,fall
11,40748,tv,8,1249570,24.0,Non-Original,r,True,fall
12,23273,tv,8,1207643,22.0,Non-Original,pg_13,True,fall
13,35760,tv,8,1366582,12.0,Non-Original,r,True,summer
14,1,tv,8,844830,26.0,original,r,True,spring
15,16498,tv,8,2484450,25.0,Non-Original,r,True,spring
16,38000,tv,8,1732637,26.0,Non-Original,r,True,spring
17,37510,tv,8,794061,13.0,Non-Original,pg_13,True,winter
18,30276,tv,8,1989312,12.0,Non-Original,r,True,fall
19,32935,tv,8,703376,10.0,Non-Original,pg_13,True,fall
20,33352,tv,8,834283,13.0,Non-Original,pg_13,True,winter
21,25777,tv,8,1622386,12.0,Non-Original,r,True,spring
22,4181,tv,8,613647,24.0,Non-Original,pg_13,True,fall
23,37779,tv,8,1128013,12.0,Non-Original,r,True,winter
24,28891,tv,8,837304,25.0,Non-Original,pg_13,True,fall
25,431,movie,8,794304,1.0,Non-Original,g,True,fall
26,2001,tv,8,826245,27.0,original,pg_13,True,spring
27,164,movie,8,718460,1.0,original,pg_13,True,summer
28,40456,movie,8,775474,1.0,Non-Original,r,True,fall
29,47778,tv,8,562826,11.0,Non-Original,r,True,winter
30,37521,tv,8,619634,24.0,Non-Original,r,True,summer
31,40591,tv,8,711087,12.0,Non-Original,pg_13,True,spring
32,32182,tv,8,1083282,12.0,Non-Original,pg_13,True,summer
33,34599,tv,8,625109,13.0,Non-Original,r,True,summer
34,20583,tv,8,1080271,25.0,Non-Original,pg_13,True,spring
35,50265,tv,8,498502,12.0,Non-Original,pg_13,True,spring
36,11741,tv,8,648863,12.0,Non-Original,r,True,spring
37,30654,tv,8,783848,25.0,Non-Original,pg_13,True,winter
38,48583,tv,8,465392,12.0,Non-Original,r,True,winter
39,37999,tv,8,927051,12.0,Non-Original,pg_13,True,winter
40,37991,tv,8,569695,39.0,Non-Original,r,True,fall
41,31933,tv,8,656285,39.0,Non-Original,r,True,spring
42,32,movie,8,535545,1.0,original,r+,True,summer
43,22535,tv,8,1031280,24.0,Non-Original,r,True,fall
44,26055,tv,8,676872,24.0,Non-Original,r,True,winter
45,205,tv,8,579698,26.0,original,r,True,spring
46,36098,movie,8,472985,1.0,Non-Original,pg_13,True,summer
47,30,tv,8,941487,26.0,original,pg_13,True,fall
48,31043,tv,8,1214990,12.0,Non-Original,r,True,winter
49,918,tv,8,360760,201.0,Non-Original,pg_13,True,spring
50,9989,tv,8,909507,11.0,original,pg_13,True,spring
51,12355,movie,8,422750,1.0,original,g,True,summer
52,45576,tv,8,371600,12.0,Non-Original,r,True,fall
53,13601,tv,8,720254,22.0,original,r,True,fall
54,9756,tv,8,686406,12.0,original,pg_13,True,winter
55,33255,tv,8,524823,120.0,Non-Original,pg_13,True,summer
56,245,tv,8,364906,43.0,Non-Original,r,True,summer
57,5081,tv,8,681135,15.0,Non-Original,r,True,summer
58,31240,tv,8,1264633,25.0,Non-Original,r,True,spring
59,38329,movie,8,380542,1.0,Non-Original,pg_13,True,spring
60,1735,tv,8,1445838,500.0,Non-Original,pg_13,True,winter
61,38691,tv,8,891968,24.0,Non-Original,pg_13,True,summer
62,39535,tv,8,593681,11.0,Non-Original,r,True,winter
63,37450,tv,8,952634,13.0,Non-Original,pg_13,True,fall
64,32937,tv,8,892930,10.0,Non-Original,pg_13,True,winter
65,17074,tv,8,330778,26.0,Non-Original,r,True,summer
66,39587,tv,8,542395,13.0,Non-Original,r,True,summer
67,40776,tv,8,392171,12.0,Non-Original,pg_13,True,fall
68,19,tv,8,312652,74.0,Non-Original,r+,True,spring
69,10087,tv,8,788121,13.0,Non-Original,r,True,fall
70,42203,tv,8,412212,12.0,Non-Original,r,True,winter
71,38040,movie,8,411562,1.0,Non-Original,pg_13,True,summer
72,43608,tv,9,280251,13.0,Non-Original,pg_13,True,spring
73,30484,tv,8,369827,23.0,Non-Original,pg_13,True,spring
74,38883,tv,8,484772,13.0,Non-Original,pg_13,True,winter
75,39551,tv,8,426840,12.0,Non-Original,pg_13,True,winter
76,28701,tv,8,512854,13.0,Non-Original,r,True,spring
77,777,ova,8,434095,10.0,Non-Original,r,True,winter
78,578,movie,8,350851,1.0,Non-Original,pg_13,True,spring
79,523,movie,8,611158,1.0,original,g,True,spring
80,38826,movie,8,492483,1.0,original,pg_13,True,summer
81,33486,tv,8,1546612,25.0,Non-Original,pg_13,True,spring
82,48736,tv,8,422042,12.0,Non-Original,pg_13,True,winter
83,7311,movie,8,288983,1.0,Non-Original,pg_13,True,winter
84,37105,tv,8,353661,12.0,Non-Original,pg_13,True,summer
85,437,movie,8,309029,1.0,Non-Original,r+,True,winter
86,28171,tv,8,919553,24.0,Non-Original,pg_13,True,spring
87,36649,tv,8,314953,24.0,Non-Original,r,True,summer
88,10165,tv,8,328368,26.0,Non-Original,pg_13,True,spring
89,23847,tv,8,618114,13.0,Non-Original,pg_13,True,spring
90,33,tv,8,293642,25.0,Non-Original,r+,True,fall
91,11577,movie,8,324483,1.0,Non-Original,pg_13,True,spring
92,42897,tv,8,635531,13.0,Non-Original,pg_13,True,winter
93,28223,tv,8,903941,12.0,original,r,True,winter
94,34612,tv,8,328735,24.0,Non-Original,pg_13,True,winter
95,24415,tv,8,419131,25.0,Non-Original,pg_13,True,winter
96,2251,tv,8,357925,13.0,Non-Original,r,True,summer
97,457,tv,8,255763,26.0,Non-Original,pg_13,True,fall
98,30503,tv,8,821037,13.0,Non-Original,pg_13,True,fall
99,10408,movie,8,417524,1.0,Non-Original,g,True,summer
100,37520,tv,8,528697,24.0,Non-Original,r,True,winter
101,263,tv,8,241095,75.0,Non-Original,pg_13,True,fall
102,31758,movie,8,237725,1.0,Non-Original,r,True,winter
103,28977,tv,9,218662,51.0,Non-Original,pg_13,True,spring
104,30831,tv,8,1130918,10.0,Non-Original,pg_13,True,winter
105,39547,tv,8,332259,12.0,Non-Original,pg_13,True,summer
106,16894,tv,8,488984,25.0,Non-Original,pg_13,True,fall
107,392,tv,8,296314,112.0,Non-Original,pg_13,True,fall
108,22297,tv,8,609722,12.0,Non-Original,r,True,fall
109,19815,tv,8,1412822,12.0,Non-Original,pg_13,True,spring
110,813,tv,8,770597,291.0,Non-Original,pg_13,True,spring
111,9969,tv,9,210584,51.0,Non-Original,pg_13,True,spring
112,4224,tv,8,1258209,25.0,Non-Original,pg_13,True,fall
113,22789,tv,8,313476,12.0,Non-Original,pg_13,True,summer
114,853,tv,8,622243,26.0,Non-Original,pg_13,True,spring
115,31757,movie,8,240304,1.0,Non-Original,r,True,summer
116,121,tv,8,836664,51.0,Non-Original,r,True,fall
117,37430,tv,8,731368,24.0,Non-Original,pg_13,True,fall
118,24833,tv,8,1048111,22.0,Non-Original,pg_13,True,winter
119,18115,tv,8,422988,25.0,Non-Original,pg_13,True,fall
120,36456,tv,8,1275636,25.0,Non-Original,pg_13,True,spring
121,33674,movie,8,423040,1.0,Non-Original,pg_13,True,summer
122,34572,tv,8,694772,170.0,Non-Original,pg_13,True,fall
123,25781,ova,8,271659,2.0,Non-Original,r,True,fall
124,40834,tv,8,220757,23.0,Non-Original,pg_13,True,fall
