,anime_id,demographics
0,5114,['Shounen']
1,11061,['Shounen']
2,38524,['Shounen']
3,9253,[]
4,28851,['Shounen']
5,32281,[]
6,2904,[]
7,40028,['Shounen']
8,199,[]
9,1575,[]
10,1535,['Shounen']
11,40748,['Shounen']
12,23273,['Shounen']
13,35760,['Shounen']
14,1,[]
15,16498,['Shounen']
16,38000,['Shounen']
17,37510,[]
18,30276,['Seinen']
19,32935,['Shounen']
20,33352,[]
21,25777,['Shounen']
22,4181,[]
23,37779,['Shounen']
24,28891,['Shounen']
25,431,[]
26,2001,[]
27,164,[]
28,40456,['Shounen']
29,47778,['Shounen']
30,37521,['Seinen']
31,40591,['Seinen']
32,32182,[]
33,34599,[]
34,20583,['Shounen']
35,50265,['Shounen']
36,11741,[]
37,30654,['Shounen']
38,48583,['Shounen']
39,37999,['Seinen']
40,37991,['Shounen']
41,31933,['Shounen']
42,32,[]
43,22535,['Seinen']
44,26055,['Shounen']
45,205,['Shounen']
46,36098,[]
47,30,[]
48,31043,['Seinen']
49,918,['Shounen']
50,9989,[]
51,12355,[]
52,45576,[]
53,13601,[]
54,9756,[]
55,33255,['Shounen']
56,245,['Shounen']
57,5081,[]
58,31240,[]
59,38329,[]
60,1735,['Shounen']
61,38691,['Shounen']
62,39535,[]
63,37450,[]
64,32937,[]
65,17074,[]
66,39587,[]
67,40776,['Shounen']
68,19,['Seinen']
69,10087,[]
70,42203,[]
71,38040,[]
72,43608,['Seinen']
73,30484,[]
74,38883,['Shounen']
75,39551,[]
76,28701,[]
77,777,['Seinen']
78,578,[]
79,523,[]
80,38826,[]
81,33486,['Shounen']
82,48736,['Seinen']
83,7311,[]
84,37105,['Seinen']
85,437,[]
86,28171,['Shounen']
87,36649,['Shoujo']
88,10165,['Shounen']
89,23847,[]
90,33,['Seinen']
91,11577,[]
92,42897,['Shounen']
93,28223,[]
94,34612,['Shounen']
95,24415,['Shounen']
96,2251,[]
97,457,['Seinen']
98,30503,['Shounen']
99,10408,['Shoujo']
100,37520,['Shounen']
101,263,['Shounen']
102,31758,[]
103,28977,['Shounen']
104,30831,[]
105,39547,[]
106,16894,['Shounen']
107,392,['Shounen']
108,22297,[]
109,19815,[]
110,813,['Shounen']
111,9969,['Shounen']
112,4224,[]
113,22789,[]
114,853,['Shoujo']
115,31757,[]
116,121,['Shounen']
117,37430,[]
118,24833,['Shounen']
119,18115,['Shounen']
120,36456,['Shounen']
121,33674,[]
122,34572,['Shounen']
123,25781,['Shoujo']
124,40834,[]
125,11843,[]
126,41487,[]
127,6547,[]
128,41025,['Shounen']
129,6746,[]
130,40852,['Shounen']
131,32867,['Seinen']
132,20899,['Shounen']
133,37987,[]
134,32282,['Shounen']
135,1210,[]
136,13759,[]
137,136,['Shounen']
138,49926,['Shounen']
139,2966,[]
140,47,['Seinen']
141,31646,['Seinen']
142,3784,[]
143,35180,['Seinen']
144,9260,[]
145,40417,['Shoujo']
146,42938,['Shoujo']
147,877,['Shoujo']
148,39533,[]
149,43,['Seinen']
150,18679,[]
151,23283,[]
152,11771,['Shounen']
153,31181,[]
154,6,['Shounen']
155,12189,[]
156,5341,[]
157,35247,[]
158,42249,['Shounen']
159,11597,[]
160,2236,[]
161,38680,['Shoujo']
162,10162,['Josei']
163,512,[]
164,13125,[]
165,35839,[]
166,11981,[]
167,10863,[]
168,33049,[]
169,20,['Shounen']
170,513,[]
171,7791,[]
172,41457,[]
173,35790,[]
174,14813,[]
175,12365,['Shounen']
176,40052,[]
177,39247,[]
178,48569,[]
179,46095,[]
180,7054,['Shoujo']
181,39741,[]
182,36862,[]
183,572,[]
184,2167,[]
185,20507,['Shounen']
186,35788,['Shounen']
187,46102,[]
188,15417,['Shounen']
189,22135,['Seinen']
190,31964,['Shounen']
191,7674,['Shounen']
192,10030,['Shounen']
193,5,[]
194,39783,['Shounen']
195,38003,['Seinen']
196,45,['Shounen']
197,33206,[]
198,1519,['Seinen']
199,2025,[]
200,6594,[]
201,14513,['Shounen']
202,38408,['Shounen']
203,889,['Seinen']
204,33050,[]
205,28805,[]
206,5258,['Shounen']
207,30015,[]
208,35557,['Seinen']
209,223,['Shounen']
210,227,[]
211,9617,[]
212,14719,['Shounen']
213,29803,[]
214,1889,[]
215,25013,['Shoujo']
216,35062,['Shounen']
217,35851,[]
218,467,['Seinen']
219,40787,[]
220,34096,['Shounen']
221,1604,['Shounen']
222,34798,[]
223,25537,[]
224,6045,['Shoujo']
225,4081,['Shoujo']
226,17265,[]
227,14713,['Shoujo']
228,6114,['Seinen']
229,6675,[]
230,32615,[]
231,36296,['Seinen']
232,44,['Shounen']
233,35466,[]
234,37095,[]
235,35968,[]
236,269,['Shounen']
237,48561,['Shounen']
238,36946,['Shounen']
239,15335,['Shounen']
240,36949,['Shounen']
241,48661,['Shounen']
242,48926,['Shounen']
243,37675,[]
244,7785,[]
245,12531,['Josei']
246,185,['Seinen']
247,37171,['Seinen']
248,16782,[]
249,25681,['Shoujo']
250,5681,[]
251,232,['Shoujo']
252,32995,[]
253,585,['Shoujo']
254,27775,[]
255,2759,[]
256,339,[]
257,34822,[]
258,19647,['Shounen']
259,28025,[]
260,2034,['Shoujo']
261,2418,[]
262,4282,[]
263,1482,['Shounen']
264,35507,[]
265,39565,['Shounen']
266,38668,['Seinen']
267,3588,['Shounen']
268,10800,['Josei']
269,170,['Shounen']
270,1943,[]
271,22319,['Seinen']
272,3002,['Seinen']
273,39195,['Shounen']
274,5300,['Shoujo']
275,42923,[]
276,8425,[]
277,15689,[]
278,5680,[]
279,21939,['Seinen']
280,3786,[]
281,934,[]
282,25835,[]
283,41389,['Shounen']
284,22145,['Shounen']
285,23289,[]
286,37965,[]
287,16067,[]
288,2890,[]
289,10379,['Shoujo']
290,31478,['Seinen']
291,57,['Shounen']
292,9656,['Shoujo']
293,15809,[]
294,14397,['Josei']
295,23199,[]
296,34626,[]
297,849,[]
298,30346,[]
299,12859,['Shounen']
300,28297,['Shoujo']
301,759,[]
302,11665,['Shoujo']
303,27821,[]
304,16049,[]
305,32188,[]
306,24701,['Seinen']
307,27833,[]
308,16662,[]
309,1698,['Josei']
310,14075,['Shounen']
311,237,[]
312,249,['Shounen']
313,28999,[]
314,34636,['Shounen']
315,268,[]
316,16706,['Shounen']
317,6811,['Shounen']
318,35120,[]
319,801,['Seinen']
320,36838,['Shounen']
