,anime_id,studios
0,5114,['Bones']
1,11061,['Madhouse']
2,38524,['Wit Studio']
3,9253,['White Fox']
4,28851,['Kyoto Animation']
5,32281,['CoMix Wave Films']
6,2904,['Sunrise']
7,40028,['MAPPA']
8,199,['Studio Ghibli']
9,1575,['Sunrise']
10,1535,['Madhouse']
11,40748,['MAPPA']
12,23273,['A-1 Pictures']
13,35760,['Wit Studio']
14,1,['Sunrise']
15,16498,['Wit Studio']
16,38000,['ufotable']
17,37510,['Bones']
18,30276,['Madhouse']
19,32935,['Production I.G']
20,33352,['Kyoto Animation']
21,25777,['Wit Studio']
22,4181,['Kyoto Animation']
23,37779,['CloverWorks']
24,28891,['Production I.G']
25,431,['Studio Ghibli']
26,2001,['Gainax']
27,164,['Studio Ghibli']
28,40456,['ufotable']
29,47778,['ufotable']
30,37521,['Wit Studio']
31,40591,['A-1 Pictures']
32,32182,['Bones']
33,34599,['Kinema Citrus']
34,20583,['Production I.G']
35,50265,"['Wit Studio', 'CloverWorks']"
36,11741,['ufotable']
37,30654,['Lerche']
38,48583,['MAPPA']
39,37999,['A-1 Pictures']
40,37991,['David Production']
41,31933,['David Production']
42,32,"['Gainax', 'Production I.G']"
43,22535,['Madhouse']
44,26055,['David Production']
45,205,['Manglobe']
46,36098,['Studio VOLN']
47,30,"['Gainax', 'Tatsunoko Production']"
48,31043,['A-1 Pictures']
49,918,['Sunrise']
50,9989,['A-1 Pictures']
51,12355,['Studio Chizu']
52,45576,['Studio Bind']
53,13601,['Production I.G']
54,9756,['Shaft']
55,33255,"['J.C.Staff', 'Egg Firm']"
56,245,['Pierrot']
57,5081,['Shaft']
58,31240,['White Fox']
59,38329,['CloverWorks']
60,1735,['Pierrot']
61,38691,['TMS Entertainment']
62,39535,['Studio Bind']
63,37450,['CloverWorks']
64,32937,['Studio Deen']
65,17074,['Shaft']
66,39587,['White Fox']
67,40776,['Production I.G']
68,19,['Madhouse']
69,10087,['ufotable']
70,42203,['White Fox']
71,38040,['J.C.Staff']
72,43608,['A-1 Pictures']
73,30484,['White Fox']
74,38883,['Production I.G']
75,39551,['8bit']
76,28701,['ufotable']
77,777,"['Madhouse', 'Satelight', 'Graphinica']"
78,578,['Studio Ghibli']
79,523,['Studio Ghibli']
80,38826,['CoMix Wave Films']
81,33486,['Bones']
82,48736,['CloverWorks']
83,7311,['Kyoto Animation']
84,37105,['Zero-G']
85,437,['Madhouse']
86,28171,['J.C.Staff']
87,36649,['MAPPA']
88,10165,['Kyoto Animation']
89,23847,['feel.']
90,33,['OLM']
91,11577,['White Fox']
92,42897,['CloverWorks']
93,28223,['Madhouse']
94,34612,"['J.C.Staff', 'Egg Firm']"
95,24415,['Production I.G']
96,2251,"[""Brain's Base""]"
97,457,['Artland']
98,30503,['Bones']
99,10408,"[""Brain's Base""]"
100,37520,"['Tezuka Productions', 'MAPPA']"
101,263,['Madhouse']
102,31758,['Shaft']
103,28977,['Bandai Namco Pictures']
104,30831,['Studio Deen']
105,39547,['feel.']
106,16894,['Production I.G']
107,392,['Pierrot']
108,22297,['ufotable']
109,19815,['Madhouse']
110,813,['Toei Animation']
111,9969,['Sunrise']
112,4224,['J.C.Staff']
113,22789,['Kinema Citrus']
114,853,['Bones']
115,31757,['Shaft']
116,121,['Bones']
117,37430,['8bit']
118,24833,['Lerche']
119,18115,['A-1 Pictures']
120,36456,['Bones']
121,33674,['Madhouse']
122,34572,['Pierrot']
123,25781,['Wit Studio']
124,40834,['Wit Studio']
125,11843,['Sunrise']
126,41487,['8bit']
127,6547,['P.A. Works']
128,41025,"[""Brain's Base""]"
129,6746,"[""Brain's Base""]"
130,40852,['TMS Entertainment']
131,32867,['Bones']
132,20899,['David Production']
133,37987,['Kyoto Animation']
134,32282,['J.C.Staff']
135,1210,['Gonzo']
136,13759,['J.C.Staff']
137,136,['Nippon Animation']
138,49926,['ufotable']
139,2966,['Imagin']
140,47,['Tokyo Movie Shinsha']
141,31646,['Shaft']
142,3784,['Khara']
143,35180,['Shaft']
144,9260,['Shaft']
145,40417,['TMS Entertainment']
146,42938,['TMS Entertainment']
147,877,['Madhouse']
148,39533,['Lerche']
149,43,['Production I.G']
150,18679,['Trigger']
151,23283,['MAPPA']
152,11771,['Production I.G']
153,31181,['Shaft']
154,6,['Madhouse']
155,12189,['Kyoto Animation']
156,5341,"[""Brain's Base"", 'Marvy Jack']"
157,35247,['Shaft']
158,42249,['LIDENFILMS']
159,11597,['Shaft']
160,2236,['Madhouse']
161,38680,['TMS Entertainment']
162,10162,['Production I.G']
163,512,['Studio Ghibli']
164,13125,['A-1 Pictures']
165,35839,['Madhouse']
166,11981,['Shaft']
167,10863,['White Fox']
168,33049,['ufotable']
169,20,['Pierrot']
170,513,['Studio Ghibli']
171,7791,['Kyoto Animation']
172,41457,['A-1 Pictures']
173,35790,['Kinema Citrus']
174,14813,"[""Brain's Base""]"
175,12365,['J.C.Staff']
176,40052,['Wit Studio']
177,39247,['Kyoto Animation']
178,48569,['A-1 Pictures']
179,46095,['Wit Studio']
180,7054,['J.C.Staff']
181,39741,['Kyoto Animation']
182,36862,['Kinema Citrus']
183,572,['Topcraft']
184,2167,['Kyoto Animation']
