,anime_id,score,scored_by,episodes,sfw,type_movie,type_ona,type_ova,type_special,type_tv,source_Non-Original,source_original,rating_g,rating_pg,rating_pg_13,rating_r,rating_r+,rating_rx,start_season_fall,start_season_spring,start_season_summer,start_season_winter
0,5114,9,1871705,64.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1,11061,9,1509622,148.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
2,38524,9,1329500,10.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
3,9253,9,1252286,24.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
4,28851,8,1398608,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
5,32281,8,1675677,1.0,True,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
6,2904,8,1079799,25.0,True,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
7,40028,8,1080165,16.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
8,199,8,1149660,1.0,True,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
9,1575,8,1266726,25.0,True,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
10,1535,8,2451294,37.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
11,40748,8,1249570,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
12,23273,8,1207643,22.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
13,35760,8,1366582,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
14,1,8,844830,26.0,True,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
15,16498,8,2484450,25.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
16,38000,8,1732637,26.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
17,37510,8,794061,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
18,30276,8,1989312,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
19,32935,8,703376,10.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
20,33352,8,834283,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
21,25777,8,1622386,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,4181,8,613647,24.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
23,37779,8,1128013,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
24,28891,8,837304,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
25,431,8,794304,1.0,True,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
26,2001,8,826245,27.0,True,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
27,164,8,718460,1.0,True,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
28,40456,8,775474,1.0,True,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
29,47778,8,562826,11.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
30,37521,8,619634,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
31,40591,8,711087,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
32,32182,8,1083282,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
33,34599,8,625109,13.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
34,20583,8,1080271,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
35,50265,8,498502,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
36,11741,8,648863,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
37,30654,8,783848,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
38,48583,8,465392,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
39,37999,8,927051,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
40,37991,8,569695,39.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
41,31933,8,656285,39.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
42,32,8,535545,1.0,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
43,22535,8,1031280,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
44,26055,8,676872,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
45,205,8,579698,26.0,True,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
46,36098,8,472985,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
47,30,8,941487,26.0,True,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
48,31043,8,1214990,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
49,918,8,360760,201.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
50,9989,8,909507,11.0,True,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
51,12355,8,422750,1.0,True,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
52,45576,8,371600,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
53,13601,8,720254,22.0,True,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
54,9756,8,686406,12.0,True,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
55,33255,8,524823,120.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
56,245,8,364906,43.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
57,5081,8,681135,15.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
58,31240,8,1264633,25.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
59,38329,8,380542,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
60,1735,8,1445838,500.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
61,38691,8,891968,24.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
62,39535,8,593681,11.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
63,37450,8,952634,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
64,32937,8,892930,10.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
65,17074,8,330778,26.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
66,39587,8,542395,13.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
67,40776,8,392171,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
68,19,8,312652,74.0,True,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
69,10087,8,788121,13.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
70,42203,8,412212,12.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
71,38040,8,411562,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
72,43608,9,280251,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
73,30484,8,369827,23.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
74,38883,8,484772,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
75,39551,8,426840,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
76,28701,8,512854,13.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
77,777,8,434095,10.0,True,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
78,578,8,350851,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
79,523,8,611158,1.0,True,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
80,38826,8,492483,1.0,True,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
81,33486,8,1546612,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
82,48736,8,422042,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
83,7311,8,288983,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
84,37105,8,353661,12.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
85,437,8,309029,1.0,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
86,28171,8,919553,24.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
87,36649,8,314953,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
88,10165,8,328368,26.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
89,23847,8,618114,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
90,33,8,293642,25.0,True,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
91,11577,8,324483,1.0,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
92,42897,8,635531,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
93,28223,8,903941,12.0,True,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
94,34612,8,328735,24.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
95,24415,8,419131,25.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
96,2251,8,357925,13.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
97,457,8,255763,26.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
98,30503,8,821037,13.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
99,10408,8,417524,1.0,True,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
100,37520,8,528697,24.0,True,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
101,263,8,241095,75.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
102,31758,8,237725,1.0,True,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
103,28977,9,218662,51.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
104,30831,8,1130918,10.0,True,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
