,anime_id,keywords
0,5114,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military']"
1,11061,"['Action', 'Adventure', 'Fantasy']"
2,38524,"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
3,9253,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']"
4,28851,"['Drama', 'Romantic Subtext']"
5,32281,"['Drama', 'Supernatural', 'Romantic Subtext']"
6,2904,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']"
7,40028,"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
8,199,"['Adventure', 'Award Winning', 'Supernatural', 'Mythology']"
9,1575,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'School', 'Super Power']"
10,1535,"['Supernatural', 'Suspense', 'Psychological']"
11,40748,"['Action', 'Fantasy', 'School']"
12,23273,"['Drama', 'Romance', 'Music', 'School']"
13,35760,"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
14,1,"['Action', 'Sci-Fi', 'Adult Cast', 'Space']"
15,16498,"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
16,38000,"['Action', 'Fantasy', 'Historical']"
17,37510,"['Action', 'Comedy', 'Supernatural', 'Super Power']"
18,30276,"['Action', 'Comedy', 'Parody', 'Super Power']"
19,32935,"['Sports', 'School', 'Team Sports']"
20,33352,"['Drama', 'Fantasy', 'Slice of Life']"
21,25777,"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
22,4181,"['Drama', 'Romance', 'Supernatural']"
23,37779,"['Mystery', 'Sci-Fi', 'Suspense', 'Psychological', 'Survival']"
24,28891,"['Sports', 'School', 'Team Sports']"
25,431,"['Adventure', 'Drama', 'Fantasy', 'Romance']"
26,2001,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Mecha']"
27,164,"['Action', 'Adventure', 'Fantasy']"
28,40456,"['Action', 'Fantasy', 'Historical']"
29,47778,"['Action', 'Fantasy', 'Historical']"
30,37521,"['Action', 'Adventure', 'Drama', 'Historical']"
31,40591,"['Comedy', 'Psychological', 'Romantic Subtext', 'School']"
32,32182,"['Action', 'Comedy', 'Supernatural', 'Super Power']"
33,34599,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']"
34,20583,"['Sports', 'School', 'Team Sports']"
35,50265,"['Action', 'Comedy', 'Childcare']"
36,11741,"['Action', 'Fantasy', 'Supernatural']"
37,30654,"['Action', 'Comedy', 'School']"
38,48583,"['Action', 'Drama', 'Gore', 'Military', 'Survival']"
39,37999,"['Comedy', 'Psychological', 'Romantic Subtext', 'School']"
40,37991,"['Action', 'Adventure', 'Organized Crime']"
41,31933,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']"
42,32,"['Avant Garde', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological']"
43,22535,"['Action', 'Horror', 'Sci-Fi', 'Gore', 'Psychological']"
44,26055,"['Action', 'Adventure', 'Drama', 'Supernatural']"
45,205,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai']"
46,36098,"['Drama', 'Romance', 'Slice of Life']"
47,30,"['Action', 'Avant Garde', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological']"
48,31043,"['Mystery', 'Psychological', 'Time Travel']"
49,918,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']"
50,9989,"['Drama', 'Slice of Life', 'Supernatural']"
51,12355,"['Fantasy', 'Slice of Life', 'Childcare']"
52,45576,"['Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']"
53,13601,"['Action', 'Sci-Fi', 'Suspense', 'Adult Cast', 'Detective', 'Psychological']"
54,9756,"['Drama', 'Suspense', 'Mahou Shoujo', 'Psychological']"
55,33255,"['Comedy', 'Supernatural', 'Gag Humor', 'School']"
56,245,"['Comedy', 'Drama', 'Delinquents', 'School', 'Workplace']"
57,5081,"['Mystery', 'Romance', 'Supernatural', 'Vampire']"
58,31240,"['Drama', 'Fantasy', 'Suspense', 'Isekai', 'Psychological', 'Time Travel']"
59,38329,"['Drama', 'Romance', 'Supernatural', 'School']"
60,1735,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
61,38691,"['Adventure', 'Comedy', 'Sci-Fi', 'Survival', 'Time Travel']"
62,39535,"['Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']"
63,37450,"['Comedy', 'Drama', 'Romance', 'Supernatural', 'School']"
64,32937,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']"
65,17074,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']"
66,39587,"['Drama', 'Fantasy', 'Suspense', 'Isekai', 'Psychological', 'Time Travel']"
67,40776,"['Sports', 'School', 'Team Sports']"
68,19,"['Drama', 'Mystery', 'Suspense', 'Adult Cast', 'Psychological']"
69,10087,"['Action', 'Fantasy', 'Supernatural']"
70,42203,"['Drama', 'Fantasy', 'Suspense', 'Isekai', 'Psychological', 'Time Travel']"
71,38040,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']"
72,43608,"['Comedy', 'Suspense', 'Psychological', 'Romantic Subtext', 'School']"
73,30484,"['Drama', 'Sci-Fi', 'Suspense', 'Time Travel']"
74,38883,"['Sports', 'School', 'Team Sports']"
75,39551,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Mythology', 'Reincarnation']"
76,28701,"['Action', 'Fantasy', 'Supernatural']"
77,777,"['Action', 'Horror', 'Supernatural', 'Adult Cast', 'Gore', 'Military', 'Vampire']"
78,578,"['Drama', 'Historical']"
79,523,"['Adventure', 'Supernatural']"
80,38826,"['Drama', 'Fantasy', 'Romance', 'Slice of Life']"
81,33486,"['Action', 'School', 'Super Power']"
82,48736,"['Romance', 'Slice of Life', 'Otaku Culture', 'School']"
83,7311,"['Mystery', 'Sci-Fi', 'Supernatural', 'School']"
84,37105,['Comedy']
85,437,"['Avant Garde', 'Drama', 'Horror', 'Adult Cast', 'Psychological', 'Showbiz']"
86,28171,"['Ecchi', 'Gourmet', 'School']"
87,36649,"['Action', 'Adventure', 'Drama', 'Delinquents']"
88,10165,"['Comedy', 'Gag Humor', 'School']"
89,23847,"['Comedy', 'Romance', 'Love Polygon', 'School']"
90,33,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural', 'Gore', 'Military', 'Mythology']"
91,11577,"['Drama', 'Sci-Fi']"
92,42897,"['Romance', 'School']"
93,28223,"['Drama', 'Supernatural', 'Suspense', 'Adult Cast', 'High Stakes Game', 'Psychological']"
94,34612,"['Comedy', 'Supernatural', 'Gag Humor', 'School']"
95,24415,"['Sports', 'School', 'Team Sports']"
96,2251,"['Action', 'Comedy', 'Mystery', 'Supernatural', 'Historical', 'Organized Crime']"
97,457,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei']"
98,30503,"['Action', 'Fantasy', 'Mythology']"
99,10408,"['Drama', 'Romance', 'Supernatural']"
100,37520,"['Action', 'Adventure', 'Supernatural', 'Historical', 'Mythology', 'Samurai']"
101,263,"['Sports', 'Combat Sports']"
102,31758,"['Action', 'Mystery', 'Supernatural', 'Vampire']"
103,28977,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai']"
104,30831,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']"
105,39547,"['Comedy', 'Romance', 'Love Polygon', 'School']"
106,16894,"['Sports', 'School', 'Team Sports']"
107,392,"['Action', 'Comedy', 'Supernatural', 'Martial Arts', 'Mythology']"
108,22297,"['Action', 'Fantasy', 'Supernatural']"
109,19815,"['Comedy', 'Ecchi', 'Fantasy', 'Isekai', 'Strategy Game']"
