,anime_id,licensors
0,5114,"['Funimation', 'Aniplex of America']"
1,11061,['VIZ Media']
2,38524,['Funimation']
3,9253,['Funimation']
4,28851,"['Eleven Arts', 'NYAV Post']"
5,32281,"['Funimation', 'NYAV Post']"
6,2904,"['Funimation', 'Bandai Entertainment']"
7,40028,['Funimation']
8,199,"['Disney Platform Distribution', 'GKIDS']"
9,1575,"['Funimation', 'Bandai Entertainment']"
10,1535,['VIZ Media']
11,40748,[]
12,23273,['Aniplex of America']
13,35760,['Funimation']
14,1,"['Funimation', 'Bandai Entertainment']"
15,16498,['Funimation']
16,38000,['Aniplex of America']
17,37510,['Funimation']
18,30276,['VIZ Media']
19,32935,['Sentai Filmworks']
20,33352,['Funimation']
21,25777,['Funimation']
22,4181,['Sentai Filmworks']
23,37779,['Aniplex of America']
24,28891,['Sentai Filmworks']
25,431,['Disney Platform Distribution']
26,2001,"['ADV Films', 'Bandai Entertainment', 'Aniplex of America']"
27,164,['GKIDS']
28,40456,['Aniplex of America']
29,47778,['Crunchyroll']
30,37521,['Sentai Filmworks']
31,40591,['Aniplex of America']
32,32182,"['Funimation', 'Crunchyroll']"
33,34599,['Sentai Filmworks']
34,20583,['Sentai Filmworks']
35,50265,[]
36,11741,['Aniplex of America']
37,30654,['Funimation']
38,48583,[]
39,37999,['Aniplex of America']
40,37991,['VIZ Media']
41,31933,['VIZ Media']
42,32,"['GKIDS', 'Manga Entertainment']"
43,22535,['Sentai Filmworks']
44,26055,['VIZ Media']
45,205,"['Funimation', 'Geneon Entertainment USA']"
46,36098,['Aniplex of America']
47,30,"['ADV Films', 'GKIDS', 'Netflix']"
48,31043,['Aniplex of America']
49,918,"['Sentai Filmworks', 'Crunchyroll']"
50,9989,"['NIS America, Inc.', 'Aniplex of America']"
51,12355,['Funimation']
52,45576,['Funimation']
53,13601,['Funimation']
54,9756,['Aniplex of America']
55,33255,['Funimation']
56,245,"['Discotek Media', 'Tokyopop']"
57,5081,['Aniplex of America']
58,31240,['Funimation']
59,38329,['Aniplex of America']
60,1735,['VIZ Media']
61,38691,"['Funimation', 'Crunchyroll']"
62,39535,['Funimation']
63,37450,['Aniplex of America']
64,32937,['Discotek Media']
65,17074,['Aniplex of America']
66,39587,[]
67,40776,['Sentai Filmworks']
68,19,['VIZ Media']
69,10087,['Aniplex of America']
70,42203,[]
71,38040,[]
72,43608,['Aniplex of America']
73,30484,['Funimation']
74,38883,['Sentai Filmworks']
75,39551,['Funimation']
76,28701,['Aniplex of America']
77,777,"['Funimation', 'Geneon Entertainment USA']"
78,578,"['ADV Films', 'Central Park Media', 'Sentai Filmworks']"
79,523,"['Disney Platform Distribution', 'GKIDS']"
80,38826,['GKIDS']
81,33486,['Funimation']
82,48736,[]
83,7311,"['Funimation', 'Bandai Entertainment']"
84,37105,[]
85,437,"['GKIDS', 'Manga Entertainment']"
86,28171,['Sentai Filmworks']
87,36649,[]
88,10165,"['Funimation', 'Bandai Entertainment']"
89,23847,['Sentai Filmworks']
90,33,"['Media Blasters', 'NYAV Post']"
91,11577,['Funimation']
92,42897,['Funimation']
93,28223,['Funimation']
94,34612,[]
95,24415,[]
96,2251,"['Funimation', 'Aniplex of America']"
97,457,['Funimation']
98,30503,['Funimation']
99,10408,[]
100,37520,['Sentai Filmworks']
101,263,"['Discotek Media', 'Geneon Entertainment USA']"
102,31758,['Aniplex of America']
103,28977,"['Funimation', 'Crunchyroll']"
104,30831,"['Discotek Media', 'Crunchyroll']"
105,39547,['Sentai Filmworks']
106,16894,[]
107,392,['Funimation']
108,22297,['Aniplex of America']
109,19815,['Sentai Filmworks']
110,813,['Funimation']
111,9969,[]
112,4224,"['NIS America, Inc.']"
113,22789,['Funimation']
114,853,['Funimation']
115,31757,['Aniplex of America']
116,121,"['Funimation', 'Aniplex of America']"
117,37430,['Funimation']
118,24833,['Funimation']
119,18115,['Aniplex of America']
120,36456,['Funimation']
121,33674,['Sentai Filmworks']
122,34572,"['Funimation', 'Crunchyroll']"
123,25781,[]
124,40834,['Funimation']
125,11843,"['NIS America, Inc.']"
126,41487,[]
127,6547,"['Sentai Filmworks', 'Aniplex of America']"
128,41025,[]
129,6746,['Aniplex of America']
130,40852,['Funimation']
131,32867,"['Funimation', 'Crunchyroll']"
132,20899,['VIZ Media']
133,37987,['Funimation']
134,32282,['Sentai Filmworks']
135,1210,"['ADV Films', 'Funimation']"
136,13759,['Sentai Filmworks']
137,136,['VIZ Media']
138,49926,[]
139,2966,"['Funimation', 'Kadokawa Pictures USA']"
140,47,"['Funimation', 'Bandai Entertainment', 'Geneon Entertainment USA']"
141,31646,['Aniplex of America']
142,3784,['Funimation']
143,35180,['Aniplex of America']
144,9260,['Aniplex of America']
145,40417,['Funimation']
146,42938,['Funimation']
147,877,"['VIZ Media', 'Sentai Filmworks']"
148,39533,[]
149,43,['Manga Entertainment']
150,18679,['Aniplex of America']
151,23283,['Funimation']
152,11771,[]
153,31181,['Aniplex of America']
154,6,"['Funimation', 'Geneon Entertainment USA']"
155,12189,['Funimation']
156,5341,['Funimation']
157,35247,['Aniplex of America']
158,42249,[]
159,11597,['Aniplex of America']
160,2236,"['Funimation', 'Bandai Entertainment', 'Kadokawa Pictures USA']"
161,38680,['Funimation']
162,10162,"['NIS America, Inc.']"
163,512,"['Disney Platform Distribution', 'GKIDS']"
164,13125,['Sentai Filmworks']
165,35839,[]
166,11981,['Aniplex of America']
167,10863,['Funimation']
168,33049,['Aniplex of America']
169,20,['VIZ Media']
170,513,"['Disney Platform Distribution', 'GKIDS']"
171,7791,['Sentai Filmworks']
172,41457,[]
173,35790,['Funimation']
174,14813,['Sentai Filmworks']
175,12365,[]
176,40052,[]
177,39247,[]
178,48569,[]
179,46095,['Aniplex of America']
180,7054,['Sentai Filmworks']
181,39741,['Funimation']
182,36862,['Sentai Filmworks']
183,572,"['Disney Platform Distribution', 'GKIDS']"
184,2167,['Sentai Filmworks']
185,20507,['Funimation']
186,35788,['Sentai Filmworks']
187,46102,[]
188,15417,[]
189,22135,['Funimation']
190,31964,['Funimation']
191,7674,['Media Blasters']
192,10030,['Media Blasters']
193,5,['Sony Pictures Entertainment']
194,39783,[]
195,38003,[]
196,45,"['Media Blasters', 'Aniplex of America']"
197,33206,"['Funimation', 'Crunchyroll']"
198,1519,"['Funimation', 'Geneon Entertainment USA']"
199,2025,['Funimation']
