anime_id,title,type,score,scored_by,status,episodes,source,members,favorites,rating,sfw,start_year,start_season,genres,demographics,studios
5114,Fullmetal Alchemist: Brotherhood,tv,High,1871705,finished_airing,64,Non-Original,2932347,204645,r,True,2009,spring,Action,Shounen,Bones
11061,Hunter x Hunter (2011),tv,High,1509622,finished_airing,148,Non-Original,2418883,185178,pg_13,True,2011,fall,Action,Shounen,Madhouse
38524,Shingeki no Kyojin Season 3 Part 2,tv,High,1329500,finished_airing,10,Non-Original,1881734,51931,r,True,2019,spring,Action,Shounen,Wit Studio
9253,Steins;Gate,tv,High,1252286,finished_airing,24,Non-Original,2269121,173088,pg_13,True,2011,spring,Drama,None,White Fox
28851,Koe no Katachi,movie,High,1398608,finished_airing,1,Non-Original,2001335,77431,pg_13,True,2016,summer,Drama,Shounen,Kyoto Animation
32281,Kimi no Na wa.,movie,High,1675677,finished_airing,1,original,2392235,82509,pg_13,True,2016,summer,Drama,None,CoMix Wave Films
2904,Code Geass: Hangyaku no Lelouch R2,tv,High,1079799,finished_airing,25,original,1587851,71331,r,True,2008,spring,Action,None,Sunrise
40028,Shingeki no Kyojin: The Final Season,tv,High,1080165,finished_airing,16,Non-Original,1629273,50125,r,True,2021,winter,Action,Shounen,MAPPA
199,Sen to Chihiro no Kamikakushi,movie,High,1149660,finished_airing,1,original,1633281,28806,pg,True,2001,summer,Adventure,None,Studio Ghibli
1575,Code Geass: Hangyaku no Lelouch,tv,High,1266726,finished_airing,25,original,2013999,100106,r,True,2006,fall,Action,None,Sunrise
1535,Death Note,tv,High,2451294,finished_airing,37,Non-Original,3455435,157433,r,True,2006,fall,Supernatural,Shounen,Madhouse
40748,Jujutsu Kaisen (TV),tv,High,1249570,finished_airing,24,Non-Original,1922291,72025,r,True,2020,fall,Action,Shounen,MAPPA
23273,Shigatsu wa Kimi no Uso,tv,High,1207643,finished_airing,22,Non-Original,1962353,79870,pg_13,True,2014,fall,Drama,Shounen,A-1 Pictures
35760,Shingeki no Kyojin Season 3,tv,High,1366582,finished_airing,12,Non-Original,2000440,18702,r,True,2018,summer,Action,Shounen,Wit Studio
1,Cowboy Bebop,tv,High,844830,finished_airing,26,original,1638455,72711,r,True,1998,spring,Action,None,Sunrise
16498,Shingeki no Kyojin,tv,High,2484450,finished_airing,25,Non-Original,3473484,153790,r,True,2013,spring,Action,Shounen,Wit Studio
38000,Kimetsu no Yaiba,tv,High,1732637,finished_airing,26,Non-Original,2492758,81816,r,True,2019,spring,Action,Shounen,ufotable
37510,Mob Psycho 100 II,tv,High,794061,finished_airing,13,Non-Original,1261348,29183,pg_13,True,2019,winter,Action,None,Bones
30276,One Punch Man,tv,High,1989312,finished_airing,12,Non-Original,2837020,58638,r,True,2015,fall,Action,Seinen,Madhouse
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,tv,High,703376,finished_airing,10,Non-Original,1052000,14624,pg_13,True,2016,fall,Sports,Shounen,Production I.G
33352,Violet Evergarden,tv,High,834283,finished_airing,13,Non-Original,1531763,52431,pg_13,True,2018,winter,Drama,None,Kyoto Animation
25777,Shingeki no Kyojin Season 2,tv,High,1622386,finished_airing,12,Non-Original,2355879,19967,r,True,2017,spring,Action,Shounen,Wit Studio
4181,Clannad: After Story,tv,High,613647,finished_airing,24,Non-Original,1090226,66806,pg_13,True,2008,fall,Drama,None,Kyoto Animation
37779,Yakusoku no Neverland,tv,High,1128013,finished_airing,12,Non-Original,1716058,31342,r,True,2019,winter,Mystery,Shounen,CloverWorks
28891,Haikyuu!! Second Season,tv,High,837304,finished_airing,25,Non-Original,1258442,15129,pg_13,True,2015,fall,Sports,Shounen,Production I.G
431,Howl no Ugoku Shiro,movie,High,794304,finished_airing,1,Non-Original,1146746,23939,g,True,2004,fall,Adventure,None,Studio Ghibli
2001,Tengen Toppa Gurren Lagann,tv,High,826245,finished_airing,27,original,1461920,72587,pg_13,True,2007,spring,Action,None,Gainax
164,Mononoke Hime,movie,High,718460,finished_airing,1,original,1109949,19053,pg_13,True,1997,summer,Action,None,Studio Ghibli
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,movie,High,775474,finished_airing,1,Non-Original,1186991,11878,r,True,2020,fall,Action,Shounen,ufotable
47778,Kimetsu no Yaiba: Yuukaku-hen,tv,High,562826,finished_airing,11,Non-Original,937841,20645,r,True,2022,winter,Action,Shounen,ufotable
37521,Vinland Saga,tv,High,619634,finished_airing,24,Non-Original,1131303,33881,r,True,2019,summer,Action,Seinen,Wit Studio
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,tv,High,711087,finished_airing,12,Non-Original,1114716,18430,pg_13,True,2020,spring,Comedy,Seinen,A-1 Pictures
32182,Mob Psycho 100,tv,High,1083282,finished_airing,12,Non-Original,1759661,39581,pg_13,True,2016,summer,Action,None,Bones
34599,Made in Abyss,tv,High,625109,finished_airing,13,Non-Original,1160278,38020,r,True,2017,summer,Adventure,None,Kinema Citrus
20583,Haikyuu!!,tv,High,1080271,finished_airing,25,Non-Original,1722363,67117,pg_13,True,2014,spring,Sports,Shounen,Production I.G
50265,Spy x Family,tv,High,498502,finished_airing,12,Non-Original,922792,29844,pg_13,True,2022,spring,Action,Shounen,Wit Studio
11741,Fate/Zero 2nd Season,tv,High,648863,finished_airing,12,Non-Original,1014815,19468,r,True,2012,spring,Action,None,ufotable
30654,Ansatsu Kyoushitsu 2nd Season,tv,High,783848,finished_airing,25,Non-Original,1253736,16695,pg_13,True,2016,winter,Action,Shounen,Lerche
48583,Shingeki no Kyojin: The Final Season Part 2,tv,High,465392,finished_airing,12,Non-Original,905001,26577,r,True,2022,winter,Action,Shounen,MAPPA
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,tv,High,927051,finished_airing,12,Non-Original,1461457,34404,pg_13,True,2019,winter,Comedy,Seinen,A-1 Pictures
