anime_id,genres
5114,Action
11061,Action
38524,Action
9253,Drama
28851,Drama
32281,Drama
2904,Action
40028,Action
199,Adventure
1575,Action
1535,Supernatural
40748,Action
23273,Drama
35760,Action
1,Action
16498,Action
38000,Action
37510,Action
30276,Action
32935,Sports
33352,Drama
25777,Action
4181,Drama
37779,Mystery
28891,Sports
431,Adventure
2001,Action
164,Action
40456,Action
47778,Action
37521,Action
40591,Comedy
32182,Action
34599,Adventure
20583,Sports
50265,Action
11741,Action
30654,Action
48583,Action
37999,Comedy
37991,Action
31933,Action
32,Avant Garde
22535,Action
26055,Action
205,Action
36098,Drama
30,Action
31043,Mystery
918,Action
9989,Drama
12355,Fantasy
45576,Drama
13601,Action
9756,Drama
33255,Comedy
245,Comedy
5081,Mystery
31240,Drama
38329,Drama
1735,Action
38691,Adventure
39535,Drama
37450,Comedy
32937,Adventure
17074,Comedy
39587,Drama
40776,Sports
19,Drama
10087,Action
42203,Drama
38040,Adventure
43608,Comedy
30484,Drama
38883,Sports
39551,Action
28701,Action
777,Action
578,Drama
523,Adventure
38826,Drama
33486,Action
48736,Romance
7311,Mystery
37105,Comedy
437,Avant Garde
28171,Ecchi
36649,Action
10165,Comedy
23847,Comedy
33,Action
11577,Drama
42897,Romance
28223,Drama
34612,Comedy
24415,Sports
2251,Action
457,Adventure
30503,Action
10408,Drama
37520,Action
263,Sports
31758,Action
28977,Action
30831,Adventure
39547,Comedy
16894,Sports
392,Action
22297,Action
19815,Comedy
813,Action
9969,Action
4224,Drama
22789,Slice of Life
853,Comedy
31757,Action
121,Action
37430,Action
24833,Action
18115,Action
36456,Action
33674,Drama
34572,Action
25781,Action
40834,Adventure
11843,Comedy
41487,Action
6547,Drama
41025,Adventure
6746,Action
40852,Adventure
32867,Action
20899,Action
37987,Drama
32282,Ecchi
1210,Comedy
13759,Drama
136,Action
49926,Action
2966,Adventure
47,Action
31646,Drama
3784,Action
35180,Drama
40417,Drama
42938,Drama
877,Drama
39533,Boys Love
43,Action
18679,Action
23283,Mystery
11771,Sports
31181,Comedy
6,Action
12189,Mystery
5341,Adventure
35247,Comedy
42249,Action
11597,Comedy
2236,Drama
38680,Drama
10162,Slice of Life
512,Adventure
13125,Drama
35839,Adventure
11981,Drama
10863,Comedy
33049,Action
20,Action
513,Adventure
7791,Comedy
41457,Action
35790,Action
14813,Comedy
12365,Comedy
40052,Action
39247,Fantasy
48569,Action
46095,Action
7054,Comedy
39741,Drama
36862,Adventure
572,Adventure
2167,Drama
20507,Action
35788,Ecchi
46102,Mystery
15417,Action
22135,Drama
31964,Action
7674,Comedy
10030,Comedy
5,Action
39783,Comedy
38003,Action
45,Action
33206,Fantasy
1519,Action
2025,Action
6594,Action
