anime_id,type,episodes,source,rating,start_year,start_season,demographics
5114,tv,64,Non-Original,r,2009,spring,Shounen
11061,tv,148,Non-Original,pg_13,2011,fall,Shounen
38524,tv,10,Non-Original,r,2019,spring,Shounen
9253,tv,24,Non-Original,pg_13,2011,spring,None
28851,movie,1,Non-Original,pg_13,2016,summer,Shounen
32281,movie,1,original,pg_13,2016,summer,None
2904,tv,25,original,r,2008,spring,None
40028,tv,16,Non-Original,r,2021,winter,Shounen
199,movie,1,original,pg,2001,summer,None
1575,tv,25,original,r,2006,fall,None
1535,tv,37,Non-Original,r,2006,fall,Shounen
40748,tv,24,Non-Original,r,2020,fall,Shounen
23273,tv,22,Non-Original,pg_13,2014,fall,Shounen
35760,tv,12,Non-Original,r,2018,summer,Shounen
1,tv,26,original,r,1998,spring,None
16498,tv,25,Non-Original,r,2013,spring,Shounen
38000,tv,26,Non-Original,r,2019,spring,Shounen
37510,tv,13,Non-Original,pg_13,2019,winter,None
30276,tv,12,Non-Original,r,2015,fall,Seinen
32935,tv,10,Non-Original,pg_13,2016,fall,Shounen
33352,tv,13,Non-Original,pg_13,2018,winter,None
25777,tv,12,Non-Original,r,2017,spring,Shounen
4181,tv,24,Non-Original,pg_13,2008,fall,None
37779,tv,12,Non-Original,r,2019,winter,Shounen
28891,tv,25,Non-Original,pg_13,2015,fall,Shounen
431,movie,1,Non-Original,g,2004,fall,None
2001,tv,27,original,pg_13,2007,spring,None
164,movie,1,original,pg_13,1997,summer,None
40456,movie,1,Non-Original,r,2020,fall,Shounen
47778,tv,11,Non-Original,r,2022,winter,Shounen
37521,tv,24,Non-Original,r,2019,summer,Seinen
40591,tv,12,Non-Original,pg_13,2020,spring,Seinen
32182,tv,12,Non-Original,pg_13,2016,summer,None
34599,tv,13,Non-Original,r,2017,summer,None
20583,tv,25,Non-Original,pg_13,2014,spring,Shounen
50265,tv,12,Non-Original,pg_13,2022,spring,Shounen
11741,tv,12,Non-Original,r,2012,spring,None
30654,tv,25,Non-Original,pg_13,2016,winter,Shounen
48583,tv,12,Non-Original,r,2022,winter,Shounen
37999,tv,12,Non-Original,pg_13,2019,winter,Seinen
37991,tv,39,Non-Original,r,2018,fall,Shounen
31933,tv,39,Non-Original,r,2016,spring,Shounen
32,movie,1,original,r+,1997,summer,None
22535,tv,24,Non-Original,r,2014,fall,Seinen
26055,tv,24,Non-Original,r,2015,winter,Shounen
205,tv,26,original,r,2004,spring,Shounen
36098,movie,1,Non-Original,pg_13,2018,summer,None
30,tv,26,original,pg_13,1995,fall,None
31043,tv,12,Non-Original,r,2016,winter,Seinen
918,tv,201,Non-Original,pg_13,2006,spring,Shounen
9989,tv,11,original,pg_13,2011,spring,None
12355,movie,1,original,g,2012,summer,None
45576,tv,12,Non-Original,r,2021,fall,None
13601,tv,22,original,r,2012,fall,None
9756,tv,12,original,pg_13,2011,winter,None
33255,tv,120,Non-Original,pg_13,2016,summer,Shounen
245,tv,43,Non-Original,r,1999,summer,Shounen
5081,tv,15,Non-Original,r,2009,summer,None
31240,tv,25,Non-Original,r,2016,spring,None
38329,movie,1,Non-Original,pg_13,2019,spring,None
1735,tv,500,Non-Original,pg_13,2007,winter,Shounen
38691,tv,24,Non-Original,pg_13,2019,summer,Shounen
39535,tv,11,Non-Original,r,2021,winter,None
37450,tv,13,Non-Original,pg_13,2018,fall,None
32937,tv,10,Non-Original,pg_13,2017,winter,None
17074,tv,26,Non-Original,r,2013,summer,None
39587,tv,13,Non-Original,r,2020,summer,None
40776,tv,12,Non-Original,pg_13,2020,fall,Shounen
19,tv,74,Non-Original,r+,2004,spring,Seinen
10087,tv,13,Non-Original,r,2011,fall,None
42203,tv,12,Non-Original,r,2021,winter,None
38040,movie,1,Non-Original,pg_13,2019,summer,None
43608,tv,13,Non-Original,pg_13,2022,spring,Seinen
30484,tv,23,Non-Original,pg_13,2018,spring,None
38883,tv,13,Non-Original,pg_13,2020,winter,Shounen
39551,tv,12,Non-Original,pg_13,2021,winter,None
28701,tv,13,Non-Original,r,2015,spring,None
777,ova,10,Non-Original,r,2006,winter,Seinen
578,movie,1,Non-Original,pg_13,1988,spring,None
523,movie,1,original,g,1988,spring,None
38826,movie,1,original,pg_13,2019,summer,None
33486,tv,25,Non-Original,pg_13,2017,spring,Shounen
48736,tv,12,Non-Original,pg_13,2022,winter,Seinen
7311,movie,1,Non-Original,pg_13,2010,winter,None
37105,tv,12,Non-Original,pg_13,2018,summer,Seinen
437,movie,1,Non-Original,r+,1998,winter,None
28171,tv,24,Non-Original,pg_13,2015,spring,Shounen
36649,tv,24,Non-Original,r,2018,summer,Shoujo
10165,tv,26,Non-Original,pg_13,2011,spring,Shounen
23847,tv,13,Non-Original,pg_13,2015,spring,None
33,tv,25,Non-Original,r+,1997,fall,Seinen
11577,movie,1,Non-Original,pg_13,2013,spring,None
42897,tv,13,Non-Original,pg_13,2021,winter,Shounen
28223,tv,12,original,r,2015,winter,None
34612,tv,24,Non-Original,pg_13,2018,winter,Shounen
24415,tv,25,Non-Original,pg_13,2015,winter,Shounen
2251,tv,13,Non-Original,r,2007,summer,None
457,tv,26,Non-Original,pg_13,2005,fall,Seinen
30503,tv,13,Non-Original,pg_13,2015,fall,Shounen
10408,movie,1,Non-Original,g,2011,summer,Shoujo
37520,tv,24,Non-Original,r,2019,winter,Shounen
263,tv,75,Non-Original,pg_13,2000,fall,Shounen
31758,movie,1,Non-Original,r,2017,winter,None
28977,tv,51,Non-Original,pg_13,2015,spring,Shounen
30831,tv,10,Non-Original,pg_13,2016,winter,None
39547,tv,12,Non-Original,pg_13,2020,summer,None
16894,tv,25,Non-Original,pg_13,2013,fall,Shounen
392,tv,112,Non-Original,pg_13,1992,fall,Shounen
22297,tv,12,Non-Original,r,2014,fall,None
19815,tv,12,Non-Original,pg_13,2014,spring,None
813,tv,291,Non-Original,pg_13,1989,spring,Shounen
9969,tv,51,Non-Original,pg_13,2011,spring,Shounen
4224,tv,25,Non-Original,pg_13,2008,fall,None
22789,tv,12,Non-Original,pg_13,2014,summer,None
853,tv,26,Non-Original,pg_13,2006,spring,Shoujo
31757,movie,1,Non-Original,r,2016,summer,None
121,tv,51,Non-Original,r,2003,fall,Shounen
37430,tv,24,Non-Original,pg_13,2018,fall,None
24833,tv,22,Non-Original,pg_13,2015,winter,Shounen
18115,tv,25,Non-Original,pg_13,2013,fall,Shounen
36456,tv,25,Non-Original,pg_13,2018,spring,Shounen
33674,movie,1,Non-Original,pg_13,2017,summer,None
34572,tv,170,Non-Original,pg_13,2017,fall,Shounen
25781,ova,2,Non-Original,r,2014,fall,Shoujo
40834,tv,23,Non-Original,pg_13,2021,fall,None
11843,tv,12,Non-Original,pg_13,2012,winter,None
41487,tv,12,Non-Original,pg_13,2021,summer,None
6547,tv,13,original,pg_13,2010,spring,None
41025,tv,20,Non-Original,r,2021,spring,Shounen
6746,tv,24,Non-Original,r,2010,winter,None
40852,tv,11,Non-Original,pg_13,2021,winter,Shounen
32867,tv,12,Non-Original,r,2016,fall,Seinen
20899,tv,24,Non-Original,r,2014,spring,Shounen
37987,movie,1,Non-Original,pg_13,2020,summer,None
32282,tv,13,Non-Original,pg_13,2016,summer,Shounen
1210,tv,24,Non-Original,r+,2006,summer,None
13759,tv,24,Non-Original,pg_13,2012,fall,None
136,tv,62,Non-Original,pg_13,1999,fall,Shounen
49926,tv,7,Non-Original,r,2021,fall,Shounen
2966,tv,13,Non-Original,pg_13,2008,winter,None
47,movie,1,Non-Original,r+,1988,summer,Seinen
31646,tv,22,Non-Original,pg_13,2016,fall,Seinen
3784,movie,1,original,pg_13,2009,summer,None
35180,tv,22,Non-Original,pg_13,2017,fall,Seinen
40417,tv,25,Non-Original,pg_13,2020,spring,Shoujo
42938,tv,13,Non-Original,pg_13,2021,spring,Shoujo
877,tv,47,Non-Original,r+,2006,spring,Shoujo
39533,tv,11,Non-Original,pg_13,2019,summer,None
43,movie,1,Non-Original,r+,1995,fall,Seinen
18679,tv,24,original,pg_13,2013,fall,None
23283,tv,11,original,r,2014,summer,None
11771,tv,25,Non-Original,pg_13,2012,spring,Shounen
31181,tv,12,Non-Original,r,2015,fall,None
6,tv,26,Non-Original,pg_13,1998,spring,Shounen
12189,tv,22,Non-Original,pg_13,2012,spring,None
5341,tv,12,Non-Original,pg_13,2009,summer,None
35247,tv,7,Non-Original,r,2017,summer,None
42249,tv,24,Non-Original,r,2021,spring,Shounen
11597,tv,11,Non-Original,r,2012,winter,None
2236,movie,1,Non-Original,g,2006,summer,None
38680,tv,25,Non-Original,pg_13,2019,spring,Shoujo
10162,tv,11,Non-Original,pg_13,2011,summer,Josei
